,image,uniques,counts
18,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_443.gpkg,"5, 6, 7","634918, 364906, 176"
19,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_272.gpkg,"31, 3","941181, 58819"
20,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_373.gpkg,"5, 36, 7, 6","717898, 8428, 43818, 229856"
21,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_77.gpkg,"37, 23","740109, 259891"
22,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_348.gpkg,"3, 33","694134, 305866"
23,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_304.gpkg,"31, 12, 33","255040, 609054, 135906"
24,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_217.gpkg,"6, 5","999994, 6"
25,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_179.gpkg,"17, 20","765937, 234063"
26,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_233.gpkg,"9, 12","768735, 231265"
27,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_24.gpkg,"15, 16, 18","813630, 134557, 51813"
28,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_185.gpkg,"17, 20","331070, 668930"
29,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_162.gpkg,"12, 13","988383, 11617"
30,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_200.gpkg,"37, 4","999790, 210"
31,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_112.gpkg,16,1000000
32,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_80.gpkg,"20, 21, 13","692168, 272060, 35772"
33,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_437.gpkg,"10, 14","806377, 193623"
34,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_48.gpkg,"14, 10","362981, 637019"
35,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_294.gpkg,"29, 6, 3, 0","272450, 496070, 34338, 197142"
36,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_236.gpkg,"8, 9","845726, 154274"
37,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_322.gpkg,"5, 14","801361, 198639"
38,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_338.gpkg,"14, 10","845482, 154518"
39,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_162.gpkg,"14, 10","955679, 44321"
40,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_80.gpkg,"30, 31, 6","951354, 40208, 8438"
41,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_203.gpkg,"34, 32","614270, 385730"
42,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_158.gpkg,"18, 19","138180, 861820"
43,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_65.gpkg,"23, 37, 13","878848, 82801, 38351"
44,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_89.gpkg,4,1000000
45,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_469.gpkg,"0, 29, 6","723509, 241921, 34570"
46,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_51.gpkg,"16, 15","944313, 55687"
47,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_229.gpkg,"37, 23","798573, 201427"
48,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_191.gpkg,"4, 11","965432, 34568"
49,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_169.gpkg,"11, 4","670902, 329098"
50,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_450.gpkg,"5, 14","721180, 278820"
51,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_443.gpkg,"3, 33","576414, 423586"
52,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_293.gpkg,14,1000000
53,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_100.gpkg,"8, 9, 36","321470, 677296, 1234"
54,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_42.gpkg,"29, 0, 6, 31","95305, 347849, 218370, 338476"
55,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_241.gpkg,"17, 20, 12","374181, 503472, 122347"
56,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_475.gpkg,"9, 32","918102, 81898"
57,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_103.gpkg,"11, 4","389705, 610295"
58,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_124.gpkg,"20, 21","563509, 436491"
59,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_257.gpkg,"8, 9","814906, 185094"
60,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_421.gpkg,"3, 33","775564, 224436"
61,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_398.gpkg,"14, 10","826960, 173040"
62,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_90.gpkg,"30, 6, 0","9174, 176303, 814523"
63,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_275.gpkg,"22, 5","553648, 446352"
64,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_282.gpkg,"22, 5","647535, 352465"
65,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_148.gpkg,"32, 9, 29","775, 313990, 685235"
66,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_8.gpkg,"37, 23","869148, 130852"
67,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_92.gpkg,"34, 32","817710, 182290"
68,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_222.gpkg,"3, 31","675575, 324425"
69,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_151.gpkg,"14, 10","749162, 250838"
70,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_69.gpkg,"15, 16, 18","958107, 15133, 26760"
71,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_149.gpkg,"20, 21, 13","705241, 252617, 42142"
72,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_34.gpkg,"30, 6, 0","46709, 732295, 220996"
73,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_39.gpkg,"0, 1","338506, 661494"
74,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_152.gpkg,"6, 0","194098, 805902"
75,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_115.gpkg,"8, 9","993028, 6972"
76,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_123.gpkg,"9, 24, 20, 8","328783, 160037, 205145, 306035"
77,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_39.gpkg,"15, 16","947212, 52788"
78,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_15.gpkg,"15, 16","795746, 204254"
79,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_6.gpkg,"8, 9","145613, 854387"
80,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_134.gpkg,"2, 3, 4","134455, 842021, 23524"
81,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_90.gpkg,"0, 1","363110, 636890"
82,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_2.gpkg,"8, 9, 20","420094, 512720, 67186"
83,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_310.gpkg,"6, 3, 0, 29","614307, 198247, 150552, 36894"
84,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_52.gpkg,"1, 5","237886, 762114"
85,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_53.gpkg,"21, 13","209704, 790296"
86,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_305.gpkg,"1, 5","33023, 966977"
87,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_518.gpkg,"30, 6, 0","192594, 323964, 483442"
88,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_471.gpkg,"34, 32, 12","97698, 543724, 358578"
89,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_310.gpkg,"5, 14","268498, 731502"
90,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_10.gpkg,"37, 4","362991, 637009"
91,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_424.gpkg,"30, 6, 0","709582, 155817, 134601"
92,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_74.gpkg,"37, 23","949079, 50921"
93,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_168.gpkg,"20, 17","696180, 303820"
94,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_14.gpkg,"0, 30, 6","991994, 6771, 1235"
95,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_233.gpkg,"29, 3","78, 999922"
96,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_234.gpkg,"14, 10, 36","125334, 846765, 27901"
97,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_57.gpkg,"1, 0","801009, 198991"
98,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_41.gpkg,"29, 0, 6","345976, 595247, 58777"
99,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_108.gpkg,"5, 14","523155, 476845"
100,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_117.gpkg,"4, 37","965149, 34851"
101,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_392.gpkg,14,1000000
102,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_141.gpkg,"2, 3","847054, 152946"
103,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_10.gpkg,"30, 6","635185, 364815"
104,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_269.gpkg,"22, 5","924367, 75633"
105,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_124.gpkg,"1, 0","842574, 157426"
106,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_225.gpkg,"13, 23","997006, 2994"
107,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_193.gpkg,"12, 17","548843, 451157"
108,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_241.gpkg,"13, 23","558645, 441355"
109,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_138.gpkg,"14, 10","678976, 321024"
110,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_490.gpkg,"30, 31","981065, 18935"
111,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_461.gpkg,"31, 34, 32, 12","65032, 322937, 511279, 100752"
112,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_127.gpkg,"12, 17","959915, 40085"
113,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_37.gpkg,"15, 16","794698, 205302"
114,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_222.gpkg,"11, 4","869678, 130322"
115,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_57.gpkg,"30, 6, 0","202486, 167133, 630381"
116,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_56.gpkg,"4, 37","970428, 29572"
117,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_184.gpkg,"37, 23","884489, 115511"
118,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_35.gpkg,"15, 16","580007, 419993"
119,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_176.gpkg,20,1000000
120,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_88.gpkg,16,1000000
121,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_429.gpkg,"5, 10","75820, 924180"
122,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_181.gpkg,"23, 37, 13","396907, 9485, 593608"
123,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_12.gpkg,"16, 25","707187, 292813"
124,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_158.gpkg,"10, 6","530458, 469542"
125,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_459.gpkg,"31, 34, 32, 12","407167, 319229, 54340, 219264"
126,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_279.gpkg,"29, 6, 3, 0","281440, 555663, 146743, 16154"
127,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_184.gpkg,"17, 20","830978, 169022"
128,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_88.gpkg,"17, 20, 12","777856, 171128, 51016"
129,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_145.gpkg,"12, 13","947572, 52428"
130,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_210.gpkg,"17, 20","207751, 792249"
131,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_256.gpkg,"20, 21, 13","773651, 153968, 72381"
132,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_225.gpkg,"20, 21","813447, 186553"
133,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_389.gpkg,"1, 10","18663, 981337"
134,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_508.gpkg,"7, 14","100133, 899867"
135,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_545.gpkg,"32, 9","846785, 153215"
136,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_395.gpkg,"14, 10","696093, 303907"
137,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_64.gpkg,20,1000000
138,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_246.gpkg,"8, 9","446405, 553595"
139,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_397.gpkg,"31, 33","510901, 489099"
140,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_178.gpkg,"16, 15","882005, 117995"
141,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_26.gpkg,"16, 15","941900, 58100"
142,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_247.gpkg,"8, 9","933622, 66378"
143,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_135.gpkg,"7, 14, 36","327009, 656226, 16765"
144,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_342.gpkg,"5, 14","921664, 78336"
145,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_35.gpkg,"8, 9, 36","985496, 5761, 8743"
146,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_10.gpkg,"2, 3","372511, 627489"
147,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_5.gpkg,"3, 4, 2","633840, 242208, 123952"
148,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_71.gpkg,"12, 32, 9","724628, 189356, 86016"
149,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_130.gpkg,"0, 29","113173, 886827"
150,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_159.gpkg,"6, 10","890575, 109425"
151,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_121.gpkg,"1, 0","725480, 274520"
152,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_133.gpkg,"19, 16","714273, 285727"
153,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_155.gpkg,"25, 16","990232, 9768"
154,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_145.gpkg,"12, 32, 9","686494, 222812, 90694"
155,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_325.gpkg,"29, 0, 6","565387, 243906, 190707"
156,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_129.gpkg,"13, 12","185530, 814470"
157,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_265.gpkg,"9, 12","313877, 686123"
158,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_553.gpkg,"31, 12","880232, 119768"
159,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_199.gpkg,"29, 31, 3","481335, 170159, 348506"
160,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_423.gpkg,"10, 5","227320, 772680"
161,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_46.gpkg,"37, 4","837707, 162293"
162,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_107.gpkg,"37, 4","985876, 14124"
163,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_316.gpkg,"14, 10","606781, 393219"
164,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_87.gpkg,"2, 3, 4, 0","96394, 74578, 591732, 237296"
165,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_351.gpkg,"5, 14","554381, 445619"
166,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_35.gpkg,"23, 37","450665, 549335"
167,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_197.gpkg,"13, 12, 9","292502, 665146, 42352"
168,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_119.gpkg,"4, 11","825977, 174023"
169,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_22.gpkg,"30, 31, 6","20169, 922370, 57461"
170,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_210.gpkg,"6, 5","971764, 28236"
171,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_156.gpkg,"29, 0","841169, 158831"
172,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_157.gpkg,"18, 19","305143, 694857"
173,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_109.gpkg,"12, 13","625884, 374116"
174,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_391.gpkg,"32, 9, 12","757449, 148357, 94194"
175,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_31.gpkg,"20, 17","905964, 94036"
176,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_84.gpkg,"15, 18, 36","63584, 925930, 10486"
177,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_83.gpkg,"36, 0, 1","5812, 920841, 73347"
178,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_252.gpkg,"5, 14","713208, 286792"
179,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_62.gpkg,"4, 37","658277, 341723"
180,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_126.gpkg,"6, 11","948073, 51927"
181,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_79.gpkg,"12, 13","871953, 128047"
182,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_455.gpkg,"14, 10","849240, 150760"
183,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_334.gpkg,"31, 33","730580, 269420"
184,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_143.gpkg,"0, 1","698523, 301477"
185,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_134.gpkg,"11, 4","547416, 452584"
186,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_123.gpkg,"5, 14","56474, 943526"
187,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_408.gpkg,"3, 33","948542, 51458"
188,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_366.gpkg,"14, 10","103808, 896192"
189,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_41.gpkg,"2, 3","862847, 137153"
190,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_43.gpkg,"12, 17","964707, 35293"
191,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_151.gpkg,"18, 1","947409, 52591"
192,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_70.gpkg,"12, 13, 9","829619, 108745, 61636"
193,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_121.gpkg,"30, 6, 0","70511, 623540, 305949"
194,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_543.gpkg,"30, 6, 0","64572, 521668, 413760"
195,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_402.gpkg,"32, 9, 12, 36","282898, 646603, 69789, 710"
196,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_91.gpkg,"5, 6","784832, 215168"
197,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_541.gpkg,"30, 6","884511, 115489"
198,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_40.gpkg,"4, 0","48424, 951576"
199,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_160.gpkg,"19, 16","757498, 242502"
200,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_20.gpkg,"1, 0","974370, 25630"
201,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_45.gpkg,"15, 16","823740, 176260"
202,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_76.gpkg,"20, 9","913773, 86227"
203,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_63.gpkg,"0, 29","946777, 53223"
204,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_343.gpkg,"5, 14","598674, 401326"
205,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_180.gpkg,"23, 13","203248, 796752"
206,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_142.gpkg,"12, 17","358404, 641596"
